Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality,AQI,Green_Cover
32.6,65.1,4.1,19.3,28.0,14.5,1.45,6.3,509,Moderate,112.0,23.12
46.1,76.61151717912848,144.0,169.8,42.5,16.1,2.3,7.3,443,Hazardous,454.0,23.64
33.5,81.2,23.4,56.5,34.2,27.2,1.95,3.7,600,Hazardous,460.0,27.05
48.1,89.46102263001893,4.2,19.0,23.7,6.0,1.57,6.0,625,Poor,298.0,18.0
31.6,76.7,21.4,26.9,30.1,17.4,1.29,7.6,663,Moderate,150.0,24.34
29.0,83.5,31.5,44.4,27.0,-2.8,1.49,5.7,538,Moderate,113.0,27.78
24.9,82.2,19.5,27.9,25.6,2.0,1.54,8.1,458,Moderate,109.0,23.77
27.7,81.33387864802881,17.8,29.9,37.5,9.9,1.74,5.4,588,Poor,388.0,10.1
20.8,48.5,16.0,19.7,11.2,2.5,1.17,10.2,432,Good,86.0,44.22
28.2,71.7,75.2,90.0,30.8,5.0,1.81,4.8,765,Poor,368.0,25.16
32.0,69.7,95.7,110.4,36.1,20.5,2.3,6.8,673,Poor,285.0,11.42
21.5,60.0,14.6,20.6,20.9,1.6,0.94,10.7,587,Good,100.0,38.99
29.6,63.1,12.8,15.9,22.0,3.8,1.16,11.0,377,Good,84.0,54.32
17.5,73.8,3.3,8.8,16.2,8.4,0.83,10.8,217,Good,33.0,59.8
33.2,49.8,1.4,23.3,23.0,25.8,2.06,6.8,730,Poor,241.0,15.94
58.6,66.0,44.0,54.0,44.3,22.7,3.09,5.2,641,Hazardous,478.0,17.96
28.1,51.8,36.0,40.3,26.4,5.4,1.15,10.8,264,Good,80.0,41.43
32.0,74.9,43.3,45.5,28.8,9.5,1.42,7.8,598,Moderate,101.0,26.71
25.0,63.9,9.3,10.8,15.8,4.6,0.92,10.1,490,Good,97.0,30.01
25.7,69.3,15.7,25.0,27.7,10.6,1.44,9.5,482,Moderate,180.0,27.13
35.1,69.2,7.9,30.3,35.3,27.6,2.07,4.9,724,Hazardous,431.0,23.47
26.7,63.2,6.8,9.3,13.4,4.9,0.98,10.0,358,Good,83.0,43.38
20.4,44.9,4.6,9.2,20.5,5.7,1.03,10.2,545,Good,72.0,39.0
24.6,84.2,5.2,19.2,22.5,9.0,1.48,7.3,623,Moderate,111.0,11.93
25.9,62.8,25.8,35.6,31.2,19.0,1.48,5.3,411,Moderate,104.0,25.74
22.1,54.0,10.6,15.4,13.9,8.9,1.0,10.5,265,Good,61.0,47.39
34.1,77.44391274180698,54.0,76.8,31.6,16.4,2.15,6.6,513,Poor,228.0,15.23
24.9,63.5,6.1,13.9,17.2,4.3,1.18,16.4,390,Good,83.0,48.78
28.0,55.2,12.4,21.2,27.7,3.7,0.99,10.6,467,Good,82.0,28.66
26.7,53.9,2.9,6.4,11.1,6.6,0.96,11.8,533,Good,48.0,41.94
30.4,84.99153249997009,28.6,42.6,39.9,4.0,2.2,6.8,639,Poor,232.0,16.14
41.4,65.4,34.3,52.8,42.7,9.4,1.87,2.5,721,Hazardous,422.0,23.52
25.5,73.4,13.8,21.4,25.7,3.8,0.95,11.0,194,Good,82.0,57.54
28.2,49.6,17.0,21.7,19.7,11.3,0.99,11.1,214,Good,72.0,43.64
36.6,75.5,32.2,41.3,32.1,9.4,1.95,4.4,543,Poor,257.0,10.76
18.8,77.7,11.0,15.8,20.0,5.6,1.09,11.2,409,Good,88.0,35.47
26.3,77.5,23.1,29.5,15.1,3.7,0.92,10.4,399,Good,59.0,51.3
34.9,81.16325694587908,11.4,30.2,36.5,20.3,1.89,6.8,680,Poor,222.0,14.29
23.0,50.7,1.1,5.0,24.8,2.1,1.12,12.4,593,Good,66.0,37.93
22.3,78.8,19.3,26.0,26.1,5.5,0.82,10.7,214,Good,96.0,55.63
21.4,76.9,2.3,6.7,23.4,2.8,1.09,14.7,338,Good,70.0,57.81
44.7,75.6,6.6,28.3,25.7,23.5,2.1,4.1,643,Poor,348.0,21.96
22.4,73.0,12.2,15.0,26.6,3.6,0.97,12.9,266,Good,38.0,55.99
32.3,82.0,8.8,18.7,29.8,14.7,2.03,5.7,600,Poor,394.0,28.33
33.5,70.8,8.1,16.3,22.0,15.9,1.63,5.1,527,Moderate,114.0,28.99
33.1,52.0,7.2,15.9,38.9,12.1,1.46,7.3,452,Moderate,117.0,12.13
25.5,48.0,15.5,19.9,18.6,7.7,1.04,10.3,503,Good,32.0,40.12
29.9,77.8,1.5,23.4,43.8,20.0,1.89,6.0,681,Poor,375.0,23.75
29.3,67.5,1.9,5.0,12.1,4.5,1.12,11.0,576,Good,56.0,32.45
23.9,73.9,25.9,28.5,21.5,3.1,1.45,5.5,562,Moderate,177.0,21.91
23.7,40.0,20.7,23.0,20.4,6.2,1.05,12.5,318,Good,90.0,56.86
21.9,70.1,5.4,10.4,13.5,1.1,1.09,12.5,224,Good,36.0,56.36
44.9,82.79071993101503,24.5,47.4,39.9,26.7,2.36,4.0,878,Hazardous,421.0,13.13
27.0,45.5,6.2,13.0,24.3,5.0,1.01,10.7,205,Good,56.0,41.33
49.6,87.5,81.9,87.0,40.4,18.4,2.14,2.9,631,Hazardous,442.0,13.14
33.4,78.5,101.6,109.9,19.3,9.2,1.32,5.0,334,Moderate,151.0,31.05
23.5,51.6,0.0,8.3,23.5,7.4,0.92,19.7,450,Good,100.0,43.79
22.2,75.7,19.0,20.7,20.1,5.3,1.03,10.7,316,Good,35.0,48.36
35.4,51.9,48.4,53.0,21.0,10.4,1.53,6.6,628,Moderate,176.0,11.36
41.5,68.2,3.4,15.4,24.5,6.4,1.38,4.8,748,Poor,293.0,26.86
21.0,60.5,4.6,8.9,15.1,6.8,0.93,10.2,378,Good,62.0,49.09
31.3,73.7,20.3,30.7,31.5,12.5,1.76,7.3,512,Moderate,106.0,12.09
46.8,91.6,240.1,261.5,40.3,37.6,2.46,3.1,879,Hazardous,532.0,23.29
23.9,66.7,14.3,16.9,21.8,7.8,1.07,10.4,413,Good,76.0,28.04
24.6,45.1,0.4,6.4,21.2,1.7,0.94,10.1,226,Good,77.0,46.99
24.1,59.3,14.4,33.1,31.0,16.7,2.0,5.3,622,Poor,227.0,10.75
41.4,82.2,73.6,89.8,35.1,13.3,2.84,4.1,620,Hazardous,463.0,19.45
22.5,73.0,0.2,6.2,15.0,5.5,0.95,14.2,543,Good,42.0,40.21
26.7,57.9,50.0,59.6,26.3,9.4,1.68,6.3,541,Moderate,106.0,29.14
24.6,51.3,3.9,8.0,21.7,5.9,0.98,12.8,454,Good,58.0,33.8
32.0,70.7,8.4,11.3,24.5,6.1,1.6,8.2,382,Moderate,132.0,32.61
29.5,77.2,27.9,44.4,26.3,23.1,1.68,7.7,586,Poor,204.0,27.68
32.5,68.3,33.2,40.1,29.0,9.5,1.52,6.5,410,Moderate,149.0,27.51
33.0,56.8,1.9,5.0,36.1,7.6,1.75,7.5,481,Moderate,128.0,13.5
30.1,86.8,7.3,22.4,27.9,6.0,1.29,6.0,690,Moderate,185.0,27.76
22.3,75.4,0.7,4.7,23.7,7.3,0.93,11.4,291,Good,84.0,58.44
27.4,81.5,18.9,30.4,22.6,12.8,1.55,5.1,341,Moderate,143.0,26.57
28.3,40.6,2.3,6.9,25.3,4.0,0.88,12.5,590,Good,66.0,28.45
30.8,68.9,2.0,11.5,23.6,13.0,1.46,7.1,638,Moderate,101.0,28.36
27.7,78.7,1.1,20.5,28.2,9.8,1.53,5.5,449,Moderate,146.0,27.42
33.3,82.6,1.2,5.6,30.1,5.9,1.32,5.9,310,Moderate,139.0,37.83
22.9,66.9,7.8,16.3,21.8,8.1,1.07,10.0,435,Good,84.0,27.67
29.6,78.9,9.3,19.0,31.3,11.2,1.74,6.8,714,Moderate,120.0,29.66
28.0,83.9,20.9,37.3,21.3,11.1,1.56,5.7,442,Moderate,116.0,29.09
33.4,85.5,11.7,31.7,41.7,12.4,2.03,3.0,927,Hazardous,613.0,25.6
22.9,40.5,3.7,7.3,13.4,0.9,1.12,12.6,246,Good,88.0,50.11
23.1,59.7,13.3,25.3,22.9,14.1,1.3,6.3,598,Moderate,140.0,15.96
36.2,77.1,35.3,43.9,20.4,14.4,1.38,5.6,599,Moderate,138.0,23.71
27.6,75.9,20.3,25.9,26.6,4.9,1.11,10.8,334,Good,49.0,47.85
32.8,60.4,1.6,12.8,28.1,5.7,1.36,12.5,406,Moderate,157.0,37.76
21.6,71.5,1.3,6.5,23.8,4.8,0.89,13.8,384,Good,44.0,46.16
31.4,81.8,4.3,17.5,21.8,12.8,1.47,5.1,437,Moderate,120.0,25.37
27.4,63.0,11.0,21.1,23.2,9.6,1.27,6.6,333,Moderate,115.0,34.65
24.2,64.4,1.1,7.2,11.7,8.6,1.08,10.9,239,Good,58.0,56.97
47.3,88.4,104.9,127.4,44.6,21.7,2.71,8.2,648,Hazardous,425.0,12.57
40.0,88.7,29.3,46.0,45.1,20.7,2.03,3.2,821,Hazardous,449.0,27.84
29.2,72.1,25.5,32.3,13.3,5.7,1.08,10.9,358,Good,62.0,43.29
20.1,41.7,3.6,8.2,23.2,9.1,0.97,10.4,370,Good,61.0,47.58
42.6,88.81898806880135,17.9,30.1,44.3,4.0,1.91,2.6,525,Hazardous,405.0,26.2
33.7,72.7,139.4,159.9,33.1,22.8,2.28,5.6,576,Poor,306.0,17.94
29.0,64.0,8.6,21.6,26.6,8.1,1.53,5.0,647,Moderate,106.0,16.22
30.7,54.3,5.7,20.8,26.5,13.4,1.87,7.2,437,Moderate,105.0,15.11
37.3,90.7,33.6,43.8,35.6,19.6,2.45,3.1,754,Hazardous,455.0,22.54
33.4,70.5,7.5,15.2,24.1,8.6,1.49,6.0,417,Moderate,114.0,21.8
33.7,89.4,30.0,47.3,26.5,8.1,1.41,6.0,613,Moderate,143.0,23.14
23.0,44.6,23.1,28.1,16.2,9.0,0.95,10.0,437,Good,48.0,27.53
28.9,80.1,8.6,19.7,31.1,10.3,1.61,8.1,562,Moderate,196.0,28.73
33.5,79.43785194152827,10.5,24.1,26.8,16.5,2.13,5.1,686,Poor,257.0,12.62
25.2,42.6,10.5,18.0,24.7,7.0,0.89,10.8,517,Good,50.0,31.5
30.2,79.7,21.1,25.3,30.6,6.5,1.63,5.9,609,Moderate,160.0,14.84
35.6,74.6,64.2,76.2,43.9,17.4,2.61,3.5,679,Poor,356.0,15.76
32.4,64.3,58.1,74.1,14.2,9.7,1.41,5.5,489,Moderate,110.0,22.85
35.0,80.5,43.6,55.1,27.9,11.3,1.65,6.9,664,Moderate,197.0,25.38
37.3,81.87478164155773,68.4,85.3,37.5,16.9,2.34,9.0,695,Poor,295.0,18.64
29.3,78.5,14.8,19.2,29.3,-0.4,1.48,8.0,451,Moderate,114.0,12.01
15.4,64.2,5.5,10.5,15.4,4.1,1.0,12.7,549,Good,75.0,44.26
31.0,57.1,22.1,27.2,35.5,8.1,1.54,8.5,713,Moderate,124.0,23.57
29.5,83.3,4.7,22.7,35.9,14.7,2.97,5.2,631,Poor,377.0,23.98
21.8,61.9,27.4,31.3,23.8,7.7,0.96,10.8,340,Good,46.0,53.17
30.2,87.8,3.4,15.9,36.0,14.2,1.47,7.3,399,Moderate,180.0,32.81
28.0,65.1,3.5,5.2,18.7,7.9,0.9,10.7,458,Good,60.0,32.15
31.3,46.6,1.4,7.5,21.8,4.4,0.87,10.8,233,Good,93.0,59.06
22.8,83.4,28.2,42.9,42.6,9.8,1.71,4.5,818,Poor,392.0,22.07
25.9,55.8,21.4,29.3,23.4,9.6,1.17,5.7,612,Moderate,123.0,28.84
36.2,87.2,2.4,17.5,50.9,31.5,3.04,5.1,937,Hazardous,420.0,14.04
31.4,78.7,7.7,14.3,38.1,17.5,1.75,5.4,549,Poor,254.0,14.79
34.4,86.3,28.4,50.6,34.5,42.3,2.28,3.2,685,Hazardous,422.0,24.15
23.2,57.5,17.8,26.2,11.0,2.9,1.19,10.4,500,Good,68.0,41.38
30.5,89.7,117.0,138.7,40.6,33.9,2.22,6.4,574,Hazardous,462.0,25.06
24.0,53.4,5.3,10.8,34.8,15.9,1.16,6.4,728,Moderate,104.0,18.15
32.1,73.6,39.4,54.8,39.5,6.8,2.0,4.2,493,Poor,261.0,28.26
14.1,54.5,3.6,8.3,17.4,7.0,0.99,10.1,238,Good,47.0,49.11
27.6,52.0,48.9,53.6,28.7,5.1,1.65,5.6,364,Moderate,144.0,32.01
21.5,72.6,4.5,9.5,22.4,4.7,0.98,12.5,391,Good,54.0,56.03
31.3,88.22334003816538,33.4,52.8,28.7,18.2,1.97,7.6,488,Poor,210.0,28.64
28.8,76.6,17.2,34.6,27.9,6.5,1.44,5.4,405,Moderate,182.0,15.79
31.1,56.4,10.7,17.0,12.9,5.1,1.07,10.0,572,Good,99.0,19.64
28.0,55.4,3.0,15.1,22.8,21.8,1.76,5.1,405,Moderate,112.0,23.45
38.1,69.3,6.5,23.6,41.6,16.5,1.46,6.4,806,Poor,212.0,24.51
41.5,91.3,79.5,93.5,30.0,12.8,1.99,10.4,561,Poor,274.0,28.78
33.1,77.33203341008067,17.6,47.1,41.1,26.4,2.45,6.8,623,Hazardous,413.0,29.27
28.2,89.5,44.9,53.9,29.1,12.1,1.29,6.7,544,Moderate,117.0,23.81
33.6,81.2,20.2,30.3,30.2,10.6,1.24,6.3,714,Moderate,113.0,17.46
32.5,53.4,45.9,52.7,27.2,10.8,1.21,7.5,513,Moderate,117.0,25.44
24.5,65.2,8.3,14.3,15.0,5.4,1.0,11.2,368,Good,47.0,49.49
29.2,74.5,19.6,32.3,29.3,7.9,1.46,11.8,629,Moderate,132.0,38.89
36.2,84.9,42.2,72.0,30.9,23.4,1.98,3.5,619,Hazardous,440.0,15.34
27.0,50.4,17.4,30.2,19.1,10.5,1.68,5.6,490,Moderate,197.0,29.91
26.2,47.6,16.4,20.2,24.0,9.9,0.85,11.5,506,Good,77.0,32.4
24.5,82.4986665931796,22.3,31.7,22.4,11.6,1.81,8.3,585,Moderate,140.0,12.7
28.7,64.6,12.1,17.6,14.2,6.2,1.04,11.1,600,Good,76.0,34.84
24.9,64.4,10.9,15.2,14.0,4.4,1.12,10.5,354,Good,77.0,58.73
38.3,88.12838294785796,8.2,27.2,24.9,13.9,2.69,3.8,808,Poor,254.0,23.77
25.9,64.2,1.5,10.3,23.6,-0.4,0.93,11.5,386,Good,48.0,43.31
22.8,65.1,3.1,10.6,11.1,4.9,0.88,12.0,500,Good,94.0,41.1
32.5,75.1,24.9,36.0,25.8,6.3,1.69,6.4,516,Moderate,155.0,23.57
25.1,59.5,6.0,11.3,25.8,0.7,0.9,10.7,231,Good,65.0,57.08
32.9,49.6,24.0,28.5,22.0,8.8,1.64,5.3,518,Moderate,160.0,20.99
28.0,80.2,27.7,28.8,34.3,12.3,1.55,6.2,631,Moderate,198.0,14.99
26.1,48.5,5.3,10.5,18.4,5.0,0.99,10.4,547,Good,77.0,31.3
28.0,90.3,35.4,58.2,41.2,7.9,2.06,5.1,662,Poor,225.0,14.42
37.8,79.1,63.0,85.1,52.6,20.1,2.6,6.5,778,Hazardous,456.0,13.94
31.6,81.22173127391169,80.5,96.9,35.0,1.7,2.0,4.4,630,Poor,241.0,20.33
30.4,63.8,12.2,22.1,31.3,15.5,1.7,5.0,389,Moderate,141.0,29.2
25.5,38.3,3.6,8.8,19.1,6.6,1.05,17.8,379,Good,61.0,44.07
36.6,78.5,6.0,25.9,45.5,17.8,1.58,4.0,470,Poor,376.0,19.85
29.8,60.2,10.7,19.8,24.9,12.4,2.0,6.4,472,Moderate,129.0,25.48
33.7,76.03307943776997,70.8,87.3,32.9,17.0,2.33,4.8,557,Hazardous,437.0,27.25
26.2,62.0,79.2,86.0,31.4,7.6,1.46,5.9,615,Moderate,104.0,19.4
27.6,61.5,0.0,4.5,25.1,4.3,1.07,11.0,536,Good,98.0,28.29
30.8,60.3,1.1,3.6,21.2,5.1,0.96,11.4,470,Good,61.0,28.93
23.7,51.7,19.1,22.2,24.0,7.0,1.07,10.6,371,Good,70.0,53.95
43.1,75.5,6.4,14.2,38.8,11.0,2.24,9.0,644,Poor,298.0,21.29
29.1,61.2,12.1,18.5,17.5,5.1,2.03,9.3,502,Moderate,115.0,14.32
28.4,48.0,11.1,17.7,15.1,7.6,1.06,16.4,334,Good,51.0,42.17
34.5,86.1,9.0,21.6,39.1,7.5,1.79,5.2,450,Moderate,199.0,17.48
20.4,52.8,11.7,16.7,24.4,2.3,1.05,10.1,430,Good,53.0,25.06
30.9,92.2,10.7,19.0,38.1,9.6,2.55,4.8,429,Poor,365.0,10.31
23.4,54.7,10.2,12.8,11.4,4.5,1.13,10.9,362,Good,61.0,48.18
28.8,76.6,124.1,135.5,32.0,10.0,2.02,5.0,566,Poor,251.0,17.81
36.4,80.3,103.0,106.4,26.5,22.3,2.38,3.7,844,Hazardous,441.0,14.45
29.8,75.8,1.1,19.5,29.7,4.0,1.78,6.3,402,Moderate,123.0,28.21
24.2,55.9,8.4,10.9,17.2,7.2,0.96,14.8,497,Good,83.0,36.39
32.1,54.6,3.8,13.6,28.1,20.3,1.54,5.2,701,Moderate,178.0,25.16
31.6,76.935513610066,85.9,101.9,45.0,25.8,1.82,7.4,804,Poor,254.0,27.68
23.3,42.6,7.4,10.6,23.7,5.2,1.14,13.4,292,Good,35.0,50.18
26.7,89.22112354754141,3.9,18.1,30.7,15.5,1.62,3.7,457,Poor,208.0,17.47
31.3,89.62128849799134,7.0,26.4,30.4,20.2,2.19,4.2,770,Poor,243.0,12.15
29.6,83.0,4.0,14.1,22.2,3.2,1.05,11.9,225,Good,82.0,45.34
25.3,83.3,33.9,44.0,35.9,9.1,1.41,6.2,488,Moderate,119.0,16.93
26.4,60.3,6.5,13.2,21.8,5.1,0.88,11.1,412,Good,74.0,41.39
23.9,61.4,28.2,40.3,37.0,11.3,1.56,6.9,559,Moderate,169.0,12.31
23.9,61.8,3.2,9.9,18.6,5.2,0.93,13.6,438,Good,56.0,26.46
32.5,71.3,11.8,30.9,26.1,23.5,2.16,5.4,730,Poor,374.0,27.8
38.7,71.9,5.4,31.0,50.3,15.6,2.81,6.4,503,Hazardous,407.0,15.17
32.4,83.3,2.3,18.4,30.9,15.1,1.54,5.0,355,Moderate,171.0,30.12
26.7,71.3,6.2,12.7,23.6,5.9,1.04,11.1,389,Good,66.0,55.51
50.9,79.9,22.5,52.0,38.2,9.0,2.65,8.4,611,Hazardous,422.0,25.05
34.7,88.9,8.9,16.1,33.3,8.5,1.19,6.0,447,Moderate,169.0,11.92
33.5,56.1,0.1,8.8,31.2,5.7,1.41,5.6,351,Moderate,124.0,34.84
26.0,54.9,16.6,22.4,21.3,7.0,1.02,12.2,210,Good,79.0,58.55
28.2,68.1,7.2,9.1,20.8,4.7,1.07,10.2,379,Good,90.0,57.26
23.4,42.5,1.9,6.4,20.6,4.3,1.19,11.3,493,Good,44.0,36.52
25.6,52.6,1.9,3.6,13.5,6.2,1.07,11.4,492,Good,98.0,28.6
22.5,41.5,0.3,7.1,17.3,3.2,1.01,11.4,212,Good,94.0,50.1
33.5,75.7,2.3,18.1,29.4,10.1,1.45,6.0,633,Moderate,114.0,16.59
47.2,78.4,17.9,46.0,42.9,21.1,2.36,2.8,517,Hazardous,483.0,11.32
35.8,60.1,2.9,13.9,22.2,14.5,1.59,7.7,661,Moderate,174.0,29.69
29.5,72.7,9.3,25.0,21.2,9.7,1.59,7.5,404,Moderate,136.0,27.32
31.7,47.3,1.2,6.9,11.5,5.5,1.18,15.7,451,Good,82.0,38.16
21.5,73.3,1.8,8.5,18.6,8.3,0.94,13.1,207,Good,95.0,58.22
40.0,66.1,21.7,41.3,28.1,2.7,1.66,5.9,745,Poor,332.0,29.91
39.1,82.4,24.3,49.8,28.2,11.5,2.03,8.5,818,Poor,327.0,21.47
27.2,43.8,18.4,23.1,21.5,2.6,1.03,12.1,253,Good,69.0,41.45
39.6,75.55455992894483,47.1,65.4,35.8,17.1,2.03,5.2,661,Poor,343.0,26.3
40.2,91.9,22.3,34.2,43.7,17.4,2.07,3.1,900,Hazardous,483.0,29.8
26.4,77.1,20.6,24.8,24.1,12.4,1.46,6.7,576,Moderate,124.0,17.84
47.4,77.5729068804628,72.7,96.6,34.3,14.9,2.54,5.7,797,Hazardous,532.0,10.74
29.7,74.4,0.6,6.0,22.4,3.5,0.74,11.6,583,Good,64.0,25.19
25.2,63.2,8.9,19.6,41.7,9.9,2.14,5.1,473,Poor,262.0,19.58
25.0,75.7,4.7,9.3,21.2,5.2,1.15,16.0,541,Good,55.0,25.44
30.8,67.6,6.0,15.4,29.2,6.0,1.42,8.7,564,Moderate,200.0,23.11
30.2,56.8,0.2,4.7,24.6,10.2,1.49,5.3,696,Moderate,154.0,18.66
21.5,74.6,0.3,8.1,15.9,6.3,1.02,15.6,381,Good,46.0,57.73
33.1,84.4,3.7,9.5,17.2,8.9,1.61,5.7,504,Moderate,110.0,20.64
24.1,47.5,22.8,26.0,26.5,4.1,0.91,12.2,406,Good,81.0,40.82
35.4,84.6,34.1,42.9,23.9,9.4,1.63,9.1,629,Moderate,191.0,24.3
25.8,76.6,8.6,16.5,22.4,6.2,0.99,16.7,514,Good,98.0,26.66
24.7,51.4,18.6,23.5,17.1,5.5,1.01,12.1,443,Good,38.0,32.66
23.1,79.70855189628367,7.4,30.0,28.5,16.3,1.8,7.2,711,Poor,226.0,26.13
54.6,90.7,48.9,62.9,30.1,11.5,2.74,3.7,617,Hazardous,415.0,26.21
35.9,87.0,26.4,34.1,29.2,17.2,1.33,6.5,619,Moderate,198.0,28.24
30.5,75.1,21.5,34.0,25.6,7.6,1.21,6.1,401,Moderate,157.0,29.53
32.0,48.8,0.7,15.8,16.9,8.6,1.65,5.2,662,Moderate,180.0,26.83
28.3,52.1,5.1,9.8,19.3,2.7,0.9,10.9,271,Good,61.0,57.54
31.2,75.9,57.6,80.4,38.9,28.6,2.15,3.4,463,Poor,275.0,10.97
27.5,55.1,3.8,14.9,20.3,5.2,1.38,6.3,629,Moderate,114.0,26.81
42.7,63.3,82.1,103.4,45.4,29.3,2.26,7.4,747,Poor,347.0,25.13
30.2,77.2,34.4,44.0,33.6,12.7,1.34,6.4,372,Moderate,120.0,25.52
36.0,70.7,69.5,78.1,29.1,16.2,2.28,7.2,420,Poor,226.0,16.25
36.5,88.25442654783369,19.1,50.4,49.3,7.4,2.15,3.3,879,Hazardous,501.0,10.89
26.3,54.7,2.0,8.2,27.9,3.4,1.05,17.0,330,Good,55.0,50.83
53.1,70.2,60.3,81.9,32.2,16.0,2.28,2.7,526,Hazardous,440.0,14.73
26.5,52.8,1.2,10.0,26.5,3.4,0.91,12.1,377,Good,51.0,57.74
20.3,66.8,18.9,21.1,25.5,5.0,0.96,11.3,416,Good,33.0,32.03
